Income,Limit,Rating,Age,Balance
14.891,3606,283,34,333
106.025,6645,483,82,903
104.593,7075,514,71,580
148.924,9504,681,36,964
55.882,4897,357,68,331
80.18,8047,569,77,1151
20.996,3388,259,37,203
71.408,7114,512,87,872
15.125,3300,266,66,279
71.061,6819,491,41,1350
63.095,8117,589,30,1407
15.045,1311,138,64,0
80.616,5308,394,57,204
43.682,6922,511,49,1081
19.144,3291,269,75,148
20.089,2525,200,57,0
53.598,3714,286,73,0
36.496,4378,339,69,368
49.57,6384,448,28,891
42.079,6626,479,44,1048
17.7,2860,235,63,89
37.348,6378,458,72,968
20.103,2631,213,61,0
64.027,5179,398,48,411
10.742,1757,156,57,0
14.09,4323,326,25,671
42.471,3625,289,44,654
32.793,4534,333,44,467
186.634,13414,949,41,1809
26.813,5611,411,55,915
34.142,5666,413,47,863
28.941,2733,210,43,0
134.181,7838,563,48,526
31.367,1829,162,30,0
20.15,2646,199,25,0
23.35,2558,220,49,419
62.413,6457,455,71,762
30.007,6481,462,69,1093
11.795,3899,300,25,531
13.647,3461,264,47,344
34.95,3327,253,54,50
113.659,7659,538,66,1155
44.158,4763,351,66,385
36.929,6257,445,24,976
31.861,6375,469,25,1120
77.38,7569,564,50,997
19.531,5043,376,64,1241
44.646,4431,320,49,797
44.522,2252,205,72,0
43.479,4569,354,49,902
36.362,5183,376,49,654
39.705,3969,301,27,211
44.205,5441,394,32,607
16.304,5466,413,66,957
15.333,1499,138,47,0
32.916,1786,154,60,0
57.1,4742,372,79,379
76.273,4779,367,65,133
10.354,3480,281,70,333
51.872,5294,390,81,531
35.51,5198,364,35,631
21.238,3089,254,59,108
30.682,1671,160,77,0
14.132,2998,251,75,133
32.164,2937,223,79,0
12,4160,320,28,602
113.829,9704,694,38,1388
11.187,5099,380,69,889
27.847,5619,418,78,822
49.502,6819,505,55,1084
24.889,3954,318,75,357
58.781,7402,538,81,1103
22.939,4923,355,47,663
23.989,4523,338,31,601
16.103,5390,418,45,945
33.017,3180,224,28,29
30.622,3293,251,68,532
20.936,3254,253,30,145
110.968,6662,468,45,391
15.354,2101,171,65,0
27.369,3449,288,40,162
53.48,4263,317,83,99
23.672,4433,344,63,503
19.225,1433,122,38,0
43.54,2906,232,69,0
152.298,12066,828,41,1779
55.367,6340,448,33,815
11.741,2271,182,59,0
15.56,4307,352,57,579
59.53,7518,543,52,1176
20.191,5767,431,42,1023
48.498,6040,456,47,812
30.733,2832,249,51,0
16.479,5435,388,26,937
38.009,3075,245,45,0
14.084,855,120,46,0
14.312,5382,367,59,1380
26.067,3388,266,74,155
36.295,2963,241,68,375
83.851,8494,607,47,1311
21.153,3736,256,41,298
17.976,2433,190,70,431
68.713,7582,531,56,1587
146.183,9540,682,66,1050
15.846,4768,365,53,745
12.031,3182,259,58,210
16.819,1337,115,74,0
39.11,3189,263,72,0
107.986,6033,449,64,227
13.561,3261,279,37,297
34.537,3271,250,57,47
28.575,2959,231,60,0
46.007,6637,491,42,1046
69.251,6386,474,30,768
16.482,3326,268,41,271
40.442,4828,369,81,510
35.177,2117,186,62,0
91.362,9113,626,47,1341
27.039,2161,173,40,0
23.012,1410,137,81,0
27.241,1402,128,67,0
148.08,8157,599,83,454
62.602,7056,481,84,904
11.808,1300,117,77,0
29.564,2529,192,30,0
27.578,2531,195,34,0
26.427,5533,433,50,1404
57.202,3411,259,72,0
123.299,8376,610,89,1259
18.145,3461,279,56,255
23.793,3821,281,56,868
10.726,1568,162,46,0
23.283,5443,407,49,912
21.455,5829,427,80,1018
34.664,5835,452,77,835
44.473,3500,257,81,8
54.663,4116,314,70,75
36.355,3613,278,35,187
21.374,2073,175,74,0
107.841,10384,728,87,1597
39.831,6045,459,32,1425
91.876,6754,483,33,605
103.893,7416,549,84,669
19.636,4896,387,64,710
17.392,2748,228,32,68
19.529,4673,341,51,642
17.055,5110,371,55,805
23.857,1501,150,56,0
15.184,2420,192,69,0
13.444,886,121,44,0
63.931,5728,435,28,581
35.864,4831,353,66,534
41.419,2120,184,24,156
92.112,4612,344,32,0
55.056,3155,235,31,0
19.537,1362,143,34,0
31.811,4284,338,75,429
56.256,5521,406,72,1020
42.357,5550,406,83,653
53.319,3000,235,53,0
12.238,4865,381,67,836
31.353,1705,160,81,0
63.809,7530,515,56,1086
13.676,2330,203,80,0
76.782,5977,429,44,548
25.383,4527,367,46,570
35.691,2880,214,35,0
29.403,2327,178,37,0
27.47,2820,219,32,0
