hour,temp,humidity,windspeed,Rental count
23,23.78,73,11.0014,133
8,27.88,57,0,132
2,20.5,59,0,19
20,25.42,83,19.9995,58
17,26.24,89,0,285
19,34.44,39,22.0028,326
23,23.78,78,7.0015,75
22,25.42,94,0,160
14,35.26,53,19.0012,134
13,18.86,72,19.9995,94
15,27.06,50,15.0013,463
19,19.68,31,16.9979,487
22,29.52,70,7.0015,288
0,28.7,45,7.0015,46
6,26.24,78,16.9979,103
7,28.7,74,7.0015,520
12,31.16,70,19.0012,213
4,13.12,49,19.9995,16
17,17.22,32,22.0028,465
1,12.3,61,7.0015,34
5,27.06,83,11.0014,37
6,13.94,57,7.0015,88
15,22.14,60,8.9981,191
13,33.62,52,35.0008,668
23,14.76,81,6.0032,25
13,36.9,25,8.9981,283
17,10.66,48,15.0013,165
10,19.68,47,15.0013,147
9,25.42,65,11.0014,366
1,12.3,65,6.0032,21
23,26.24,61,11.0014,167
10,16.4,50,19.9995,141
0,18.86,72,8.9981,177
4,22.14,77,15.0013,6
8,5.74,86,8.9981,30
17,30.34,51,15.0013,579
23,19.68,67,6.0032,123
2,19.68,77,7.0015,23
6,20.5,77,19.9995,165
22,19.68,20,12.998,182
3,25.42,61,11.0014,55
4,25.42,73,15.0013,13
1,22.96,60,11.0014,14
23,22.14,88,7.0015,75
8,16.4,71,15.0013,8
23,29.52,79,0,138
6,17.22,94,23.9994,2
1,18.86,100,16.9979,13
7,17.22,77,6.0032,33
4,21.32,100,0,13
1,18.86,72,8.9981,114
6,16.4,82,22.0028,10
10,5.74,43,26.0027,49
12,22.96,83,27.9993,153
0,27.06,69,0,76
12,22.14,22,19.0012,259
2,27.06,89,0,7
0,31.16,66,11.0014,53
17,22.96,60,16.9979,856
21,20.5,20,12.998,234
3,14.76,87,23.9994,5
7,14.76,100,15.0013,70
16,18.86,41,23.9994,520
7,26.24,78,19.0012,48
11,29.52,66,6.0032,165
14,10.66,52,15.0013,63
10,10.66,70,15.0013,108
9,29.52,62,12.998,367
12,17.22,88,8.9981,230
8,20.5,51,16.9979,414
10,7.38,93,11.0014,83
14,33.62,56,7.0015,211
4,9.02,69,8.9981,3
8,9.84,87,8.9981,144
5,10.66,81,22.0028,2
14,20.5,45,11.0014,172
3,28.7,84,0,7
1,18.86,88,0,11
12,8.2,86,0,55
6,16.4,71,0,20
0,12.3,56,19.0012,283
21,14.76,57,16.9979,136
23,27.88,69,15.0013,139
22,26.24,33,16.9979,155
18,32.8,46,19.9995,390
17,25.42,43,8.9981,724
20,16.4,71,15.0013,227
0,10.66,48,19.0012,44
1,19.68,77,11.0014,11
2,13.12,57,19.0012,11
11,31.16,55,6.0032,349
4,24.6,73,11.0014,10
4,17.22,67,11.0014,7
8,12.3,56,8.9981,149
1,27.06,74,15.0013,116
2,25.42,69,0,13
21,21.32,77,0,187
23,30.34,37,6.0032,108
17,13.94,34,6.0032,242
0,28.7,65,6.0032,85
18,22.96,35,35.0008,770
4,27.88,65,7.0015,6
21,5.74,43,43.0006,48
14,18.86,38,12.998,274
6,4.92,54,19.0012,26
15,28.7,37,30.0026,185
9,14.76,46,16.9979,165
17,32.8,46,0,436
12,15.58,32,22.0028,86
4,16.4,87,16.9979,3
19,17.22,44,12.998,144
20,19.68,82,8.9981,238
16,24.6,43,35.0008,659
5,15.58,82,12.998,19
13,22.14,49,11.0014,196
8,28.7,61,7.0015,153
0,12.3,70,31.0009,7
20,13.12,70,7.0015,88
17,32.8,31,15.0013,830
9,5.74,50,7.0015,81
11,13.12,57,6.0032,275
18,26.24,36,19.0012,614
6,5.74,93,0,22
0,12.3,49,27.9993,19
0,29.52,84,7.0015,53
18,28.7,34,19.0012,813
19,12.3,61,6.0032,175
13,18.04,18,27.9993,228
22,10.66,93,8.9981,45
1,6.56,86,7.0015,6
13,16.4,47,8.9981,207
16,22.14,30,23.9994,343
2,17.22,77,0,6
13,13.94,46,8.9981,278
0,25.42,78,6.0032,33
3,12.3,81,11.0014,46
19,9.84,65,22.0028,106
11,8.2,29,6.0032,50
17,32.8,33,26.0027,712
2,28.7,74,8.9981,16
1,13.94,87,0,10
15,19.68,51,11.0014,187
16,24.6,60,11.0014,263
15,34.44,47,6.0032,292
21,24.6,83,11.0014,181
14,16.4,30,27.9993,161
8,18.04,77,8.9981,59
19,6.56,37,11.0014,110
6,4.92,54,8.9981,28
8,16.4,87,0,445
17,26.24,23,16.9979,779
14,19.68,29,26.0027,490
15,11.48,52,16.9979,65
8,26.24,50,23.9994,486
21,27.06,94,19.9995,60
1,18.04,77,6.0032,18
12,10.66,81,11.0014,221
2,15.58,62,7.0015,16
2,26.24,69,15.0013,94
2,11.48,65,15.0013,4
12,21.32,55,19.0012,200
8,9.84,81,0,385
4,27.06,61,0,11
13,38.54,38,16.9979,337
4,16.4,76,6.0032,4
12,20.5,48,6.0032,176
23,14.76,81,12.998,64
13,18.86,94,8.9981,58
0,8.2,100,22.0028,4
23,4.1,46,26.0027,18
4,13.12,57,6.0032,10
16,19.68,59,19.9995,204
16,36.08,22,15.0013,398
21,13.12,66,6.0032,122
7,8.2,59,11.0014,230
6,6.56,80,7.0015,64
10,29.52,62,11.0014,147
16,21.32,55,32.9975,243
10,13.12,70,7.0015,164
12,12.3,39,8.9981,86
18,21.32,48,27.9993,495
5,15.58,43,19.0012,29
5,22.14,88,7.0015,33
5,21.32,100,7.0015,14
19,19.68,55,15.0013,341
21,21.32,77,6.0032,127
12,31.16,70,19.0012,287
13,18.86,38,19.9995,299
7,3.28,73,0,74
16,31.16,40,7.0015,513
18,28.7,54,8.9981,743
20,9.02,69,16.9979,106
13,22.14,68,15.0013,129
21,21.32,77,15.0013,239
8,17.22,67,15.0013,409
19,14.76,46,15.0013,332
6,18.86,88,7.0015,170
4,22.96,68,7.0015,6
6,9.02,93,6.0032,32
11,17.22,35,8.9981,527
5,13.94,76,15.0013,6
7,24.6,78,8.9981,480
11,21.32,45,11.0014,115
6,11.48,61,26.0027,108
9,28.7,54,15.0013,222
11,22.14,49,0,144
0,12.3,61,0,32
19,22.96,60,7.0015,317
21,28.7,74,12.998,211
4,21.32,68,23.9994,10
5,26.24,78,7.0015,17
23,22.14,37,12.998,180
10,33.62,43,15.0013,209
8,20.5,94,0,88
12,25.42,69,15.0013,187
11,17.22,41,16.9979,243
14,13.12,81,12.998,31
14,27.06,39,16.9979,174
1,22.96,94,8.9981,23
8,23.78,53,8.9981,498
17,24.6,78,16.9979,604
7,22.14,83,23.9994,172
5,16.4,76,6.0032,16
