RiverManagement,Urbanization,ClimateChange,DamsQuality,FloodProbability
6,4,4,6,0.45
5,7,9,1,0.475
4,7,5,4,0.515
2,3,4,1,0.52
5,5,8,5,0.475
6,6,4,3,0.47
4,5,5,4,0.57
5,6,6,6,0.585
5,5,11,3,0.58
5,2,3,7,0.555
7,5,7,4,0.455
1,3,7,5,0.555
4,5,4,2,0.45
7,7,4,11,0.525
9,6,7,6,0.48
4,5,5,6,0.44
4,10,3,7,0.465
7,5,5,6,0.53
6,5,3,7,0.47
2,2,11,2,0.485
8,7,2,2,0.55
8,8,5,6,0.605
8,6,5,7,0.495
4,5,6,4,0.48
7,7,3,6,0.485
2,4,5,8,0.445
5,5,7,4,0.47
4,5,2,4,0.55
3,3,5,5,0.485
9,5,5,4,0.545
5,3,6,9,0.575
6,4,6,5,0.47
7,1,6,7,0.43
4,7,4,4,0.515
8,2,9,6,0.515
8,1,1,7,0.565
4,5,9,8,0.555
4,7,9,8,0.56
1,7,4,5,0.505
4,7,5,8,0.635
3,9,10,2,0.545
5,5,3,5,0.425
6,8,10,7,0.595
3,0,3,6,0.46
6,7,5,5,0.47
3,1,6,2,0.45
10,4,3,4,0.47
6,5,3,6,0.495
5,3,7,8,0.545
1,5,6,6,0.61
5,6,3,6,0.5
11,5,4,3,0.545
5,3,5,6,0.565
10,7,6,3,0.485
6,4,7,3,0.545
3,9,9,5,0.58
7,4,5,5,0.48
5,3,6,7,0.42
6,5,6,3,0.465
5,3,3,1,0.55
5,6,10,1,0.465
4,7,7,5,0.57
5,6,5,2,0.51
6,3,8,2,0.48
1,6,5,3,0.475
8,7,6,6,0.54
6,6,4,7,0.545
4,2,4,1,0.45
9,6,6,9,0.545
6,3,7,3,0.555
5,4,7,4,0.565
6,5,9,9,0.515
4,3,6,3,0.51
10,3,5,3,0.61
5,4,3,3,0.47
4,3,6,6,0.475
4,3,7,5,0.55
9,6,2,4,0.515
1,5,6,5,0.355
1,3,4,7,0.47
7,4,4,4,0.57
6,4,1,6,0.425
8,8,6,4,0.62
7,6,9,10,0.505
11,4,7,6,0.475
10,4,3,3,0.545
4,8,5,5,0.565
4,6,6,7,0.48
5,5,3,2,0.445
5,3,5,3,0.45
4,5,7,6,0.475
6,4,5,5,0.56
2,2,1,4,0.52
4,5,5,3,0.51
11,8,3,8,0.515
6,4,2,9,0.56
3,7,6,9,0.565
5,6,8,4,0.56
5,6,2,0,0.46
2,6,5,6,0.465
7,4,3,4,0.47
8,6,5,7,0.515
10,6,7,9,0.545
8,3,4,5,0.55
5,4,8,6,0.575
7,4,3,2,0.415
2,0,4,4,0.45
7,4,9,2,0.575
0,3,4,8,0.465
3,7,3,4,0.47
0,8,5,10,0.54
1,7,7,3,0.59
3,3,5,6,0.6
6,6,5,6,0.515
5,5,7,5,0.46
7,5,7,5,0.48
5,0,2,5,0.47
6,2,4,5,0.48
7,1,4,6,0.42
8,3,5,2,0.495
5,4,4,3,0.47
4,6,4,5,0.525
5,1,3,8,0.51
5,8,8,9,0.595
6,7,2,4,0.59
5,6,5,1,0.45
7,8,7,1,0.475
4,7,6,9,0.515
6,6,5,6,0.49
6,1,6,4,0.445
1,9,7,7,0.615
4,8,3,4,0.535
1,5,2,5,0.435
8,1,3,3,0.475
3,4,4,5,0.525
2,3,7,4,0.525
7,3,6,2,0.485
4,9,6,5,0.54
6,10,5,2,0.565
3,9,3,4,0.545
6,4,3,3,0.485
6,6,8,4,0.54
7,6,4,6,0.455
8,7,4,4,0.535
2,5,6,4,0.535
4,7,5,9,0.535
6,1,10,2,0.505
4,3,2,5,0.44
5,3,5,5,0.485
10,7,6,1,0.435
7,5,8,11,0.585
5,5,6,5,0.44
1,5,4,3,0.405
3,3,3,3,0.465
9,6,5,5,0.575
6,4,10,3,0.555
1,3,4,4,0.475
6,4,8,6,0.515
5,9,4,6,0.53
2,3,4,3,0.41
8,14,3,2,0.56
1,8,4,5,0.51
6,7,2,5,0.58
5,7,3,4,0.46
5,4,6,5,0.425
4,4,4,1,0.38
2,5,7,4,0.53
5,5,3,1,0.515
5,3,2,3,0.41
6,7,4,2,0.56
5,6,5,3,0.505
4,5,6,6,0.52
7,7,3,1,0.535
5,2,3,3,0.485
4,5,5,7,0.5
4,3,4,1,0.38
5,0,5,2,0.58
8,4,7,5,0.58
5,8,3,5,0.45
4,2,4,4,0.485
3,1,6,4,0.455
7,6,5,7,0.605
5,6,9,7,0.57
4,7,4,6,0.47
8,7,5,7,0.53
3,2,10,6,0.455
2,6,5,6,0.46
4,5,10,3,0.525
0,7,7,4,0.415
2,4,0,8,0.55
5,5,4,4,0.47
4,10,6,2,0.45
5,6,6,3,0.535
7,3,4,7,0.6
4,8,2,5,0.52
2,5,4,7,0.515
5,10,5,4,0.605
1,2,6,4,0.385
4,7,3,4,0.485
3,5,4,7,0.47
4,5,8,3,0.57
7,5,5,5,0.565
8,6,6,2,0.525
7,4,9,7,0.59
4,6,6,8,0.615
7,5,2,5,0.4
9,5,4,6,0.52
3,3,2,8,0.535
4,7,2,3,0.425
3,6,8,2,0.55
7,6,4,3,0.5
2,5,1,7,0.515
7,3,4,5,0.52
4,8,2,3,0.45
4,5,8,5,0.485
1,6,3,10,0.465
4,5,5,5,0.565
5,4,5,6,0.505
3,10,3,4,0.525
4,7,5,8,0.515
4,5,3,6,0.415
6,4,6,11,0.565
9,5,4,9,0.62
3,9,3,5,0.51
0,6,4,3,0.4
5,3,3,4,0.52
9,8,7,4,0.525
9,9,6,9,0.57
4,6,7,5,0.45
4,4,4,4,0.55
5,3,3,3,0.38
6,3,1,7,0.495
4,4,6,6,0.48
5,4,4,4,0.44
1,6,2,4,0.415
5,4,5,5,0.495
6,5,6,3,0.48
9,2,8,6,0.515
10,9,5,4,0.55
