AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Consumer Trust in AI (%)
44.29,33.09,46.12,74.79,40.77
34.75,66.74,52.46,26.17,35.67
81.06,96.13,45.6,39.66,54.47
85.24,93.76,78.24,29.45,51.84
78.95,45.62,1.05,21.7,41.77
66.95,47.72,27.58,64.42,68.14
68.23,6.14,53.13,53.16,71.6
91.27,33.87,56.26,59.93,46.98
17.02,87.77,52.45,64.72,60.55
25.5,18.74,40.81,64.86,51.07
11.94,91.59,73.93,57.55,65.79
39.04,78.44,28.93,77.95,39.63
71,77.53,12.56,31.57,56.93
25.62,86.47,71.1,36.22,63.66
49.71,50.19,12.41,40.18,57.05
67.94,96.81,51.06,23.04,33.16
43.85,52.54,73.68,74.08,56.79
64.87,49.04,38.16,82.41,78.14
62.98,24.98,27.51,53.78,55.93
62.94,7.49,71.69,63.54,44.26
94.76,17.58,71.63,67.44,71.96
44.1,87.85,33.44,72.72,76.74
12.86,5.08,20.65,75.67,38.35
49.97,5.59,17.55,34.97,78.71
88.41,5.34,13.78,36.24,58.85
79.59,20.37,44.06,83.18,45.04
26.12,73.78,22.63,65.41,44.56
87.95,12.55,3.82,25.44,34.37
42.53,44.38,49.69,47.11,55.15
32.74,25.34,33.42,73.55,70.72
67.15,65.71,19.32,40.95,48.1
28.48,34.49,23.5,35.14,57.31
44.97,43.93,18.56,24.81,54.38
71.57,72.4,49.83,32.73,42.97
16.79,8.5,65.47,23.38,59.92
74.81,54.67,52.34,84.8,42.06
77.52,3.4,67.9,66.23,31.46
27.61,14.49,18.49,42.88,30.12
44.61,26.16,58.53,75.29,32.96
81.18,3.56,68.33,76.84,41.73
41.28,22.14,6.67,40.15,61.31
48.54,89.58,66.31,60.28,30.52
62.64,61.24,43.72,20.21,79.68
57.35,94.06,17.2,20.37,88.69
26.63,95.37,1.75,72.35,53.62
25.98,52.9,11.74,47.03,55.83
20.47,1.61,31.04,52.49,35.8
83.4,66.33,34.95,47.21,47.81
61.49,17.53,20.74,47.72,87.9
89.96,80.3,74.04,51.67,78.51
33.23,75.51,63.58,77.34,48.51
30.94,82.97,60.61,56.01,85.1
91.41,67.49,71.61,54.73,53.96
93,42.7,55.65,51,47.34
93.16,50.91,35.31,78.29,65.04
26.27,38.13,3.37,65.36,54.57
88.75,30.56,60.23,46.53,70.19
50.27,17.89,30.02,20.76,32.28
76.22,75.93,10.63,61.88,65.57
28.27,3.98,6.12,49.89,54.77
41.32,1.52,17.23,36.29,70.43
38.42,40.78,58.05,81.05,80.19
20.25,99.06,6.61,80.08,80.65
68.39,34.74,68,35.05,88.43
68.21,68.4,57.89,61.89,78.14
44.99,7.7,52.91,80.25,32.02
50.34,50.7,0.58,68.07,37.36
45.27,82.47,57.15,57.03,42.57
66.93,6.59,0.85,71.52,43.34
78.21,33.34,76.76,87.8,71.22
83.2,4.85,22.58,82.54,76.14
12.97,76.22,75.91,27.28,64
70.7,94.67,44.7,78.66,64.86
78.6,19.64,8.47,64.18,59.15
43.55,14.89,41.09,37.81,86.44
82.82,75.53,1.44,40.39,36.48
